"county","cases","E","race","gender","smoking"
"huntingdon","0","0.1","o","m","0.228"
"huntingdon","5","6.1","w","m","0.228"
"indiana","0","0.1","o","f","0.25"
"indiana","7","7.1","w","f","0.25"
"indiana","1","0.1","o","m","0.25"
"indiana","13","10.5","w","m","0.25"
"jefferson","0","0","o","f","0.227"
"jefferson","2","4.3","w","f","0.227"
"jefferson","0","0","o","m","0.227"
"jefferson","8","6.5","w","m","0.227"
"juniata","0","0","o","f","0.228"
"juniata","1","2.1","w","f","0.228"
"juniata","0","0","o","m","0.228"
"juniata","1","3.2","w","m","0.228"
"lackawanna","0","0.3","o","f","0.263"
"lackawanna","17","20","w","f","0.263"
"lackawanna","0","0.5","o","m","0.263"
"lackawanna","31","27.2","w","m","0.263"
"lancaster","2","1.6","o","f","0.207"
"lancaster","31","34.6","w","f","0.207"
"lancaster","0","2.2","o","m","0.207"
"lancaster","50","51.3","w","m","0.207"
"lawrence","3","0.3","o","f","0.279"
"lawrence","6","8.8","w","f","0.279"
"lawrence","1","0.4","o","m","0.279"
"lawrence","6","12.2","w","m","0.279"
"lebanon","0","0.3","o","f","0.21"
"lebanon","3","10.3","w","f","0.21"
"lebanon","0","0.4","o","m","0.21"
"lebanon","9","15.2","w","m","0.21"
"lehigh","3","1.6","o","f","0.226"
"lehigh","28","24.4","w","f","0.226"
"lehigh","0","2","o","m","0.226"
"lehigh","39","35.2","w","m","0.226"
"luzerne","0","0.4","o","f","0.263"
"luzerne","31","30.5","w","f","0.263"
"luzerne","2","0.7","o","m","0.263"
"luzerne","44","42.6","w","m","0.263"
"lycoming","0","0.3","o","f","0.27"
"lycoming","9","10.2","w","f","0.27"
"lycoming","0","0.4","o","m","0.27"
"lycoming","20","14.9","w","m","0.27"
"mckean","0","0.1","o","f","0.227"
"mckean","3","4.2","w","f","0.227"
"mckean","0","0.1","o","m","0.227"
"mckean","4","6","w","m","0.227"
"mercer","1","0.7","o","f","0.279"
"mercer","11","10.7","w","f","0.279"
"mercer","1","0.8","o","m","0.279"
"mercer","21","15.3","w","m","0.279"
"mifflin","0","0","o","f","0.228"
"mifflin","4","4.5","w","f","0.228"
"mifflin","0","0","o","m","0.228"
"mifflin","6","6.6","w","m","0.228"
"monroe","0","0.8","o","f","0.23"
"monroe","10","10.2","w","f","0.23"
"monroe","2","1.2","o","m","0.23"
"monroe","19","16.2","w","m","0.23"
"montgomery","10","6.8","o","f","0.182"
"montgomery","58","55.1","w","f","0.182"
"montgomery","10","9.9","o","m","0.182"
"montgomery","68","77.9","w","m","0.182"
"montour","0","0","o","f","0.21"
"montour","1","1.7","w","f","0.21"
"montour","0","0","o","m","0.21"
"montour","2","2.4","w","m","0.21"
"northampton","0","1.1","o","f","0.226"
"northampton","25","20.7","w","f","0.226"
"northampton","1","1.5","o","m","0.226"
"northampton","26","30.2","w","m","0.226"
"northumberland","0","0.1","o","f","0.21"
"northumberland","9","9.1","w","f","0.21"
"northumberland","0","0.1","o","m","0.21"
"northumberland","16","13.4","w","m","0.21"
"perry","0","0","o","f","0.207"
"perry","6","3.3","w","f","0.207"
"perry","0","0","o","m","0.207"
"perry","2","5.4","w","m","0.207"
"philadelphia","80","74.2","o","f","0.275"
"philadelphia","86","63.7","w","f","0.275"
"philadelphia","81","78.6","o","m","0.275"
"philadelphia","108","85.7","w","m","0.275"
"pike","0","0.2","o","f","0.23"
"pike","5","4.4","w","f","0.23"
"pike","0","0.3","o","m","0.23"
"pike","6","7.2","w","m","0.23"
"potter","0","0","o","f","0.27"
"potter","2","1.7","w","f","0.27"
"potter","1","0.1","o","m","0.27"
"potter","3","2.7","w","m","0.27"
"schuylkill","0","0.1","o","f","0.249"
"schuylkill","11","14.2","w","f","0.249"
"schuylkill","0","0.2","o","m","0.249"
"schuylkill","20","20.6","w","m","0.249"
"snyder","0","0","o","f","0.21"
"snyder","5","3.2","w","f","0.21"
"snyder","0","0","o","m","0.21"
"snyder","3","4.7","w","m","0.21"
"somerset","0","0.1","o","f","0.25"
"somerset","4","7.6","w","f","0.25"
"somerset","0","0.2","o","m","0.25"
"somerset","9","11","w","m","0.25"
"sullivan","0","0","o","f","0.27"
"sullivan","0","0.8","w","f","0.27"
"sullivan","0","0","o","m","0.27"
"sullivan","0","1.3","w","m","0.27"
"susquehanna","0","0","o","f","0.23"
"susquehanna","2","3.8","w","f","0.23"
"susquehanna","0","0.1","o","m","0.23"
"susquehanna","3","6.3","w","m","0.23"
"tioga","0","0","o","f","0.27"
"tioga","1","3.8","w","f","0.27"
"tioga","0","0.1","o","m","0.27"
"tioga","6","6.4","w","m","0.27"
"union","0","0.1","o","f","0.21"
"union","0","2.9","w","f","0.21"
"union","0","0.2","o","m","0.21"
"union","4","4.7","w","m","0.21"
"venango","0","0.1","o","f","0.279"
"venango","7","5.6","w","f","0.279"
"venango","1","0.1","o","m","0.279"
"venango","18","7.9","w","m","0.279"
"warren","0","0","o","f","0.227"
"warren","1","4.2","w","f","0.227"
"warren","0","0.1","o","m","0.227"
"warren","6","6.4","w","m","0.227"
"washington","0","0.8","o","f","0.23"
"washington","19","18.5","w","f","0.23"
"washington","1","1","o","m","0.23"
"washington","22","25.8","w","m","0.23"
"wayne","0","0.1","o","f","0.23"
"wayne","10","4.9","w","f","0.23"
"wayne","0","0.2","o","m","0.23"
"wayne","6","7.4","w","m","0.23"
"westmoreland","0","0.8","o","f","0.24"
"westmoreland","29","35.5","w","f","0.24"
"westmoreland","2","1.1","o","m","0.24"
"westmoreland","52","49.6","w","m","0.24"
"wyoming","0","0","o","f","0.263"
"wyoming","1","2.1","w","f","0.263"
"wyoming","0","0","o","m","0.263"
"wyoming","4","3.6","w","m","0.263"
"york","4","1.3","o","f","0.236"
"york","31","29.2","w","f","0.236"
"york","1","1.8","o","m","0.236"
"york","40","44.8","w","m","0.236"
